message	label
X2  &lt;#&gt; . Are you going to get that	ham
Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE	ham
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...	ham
Ya but it cant display internal subs so i gotta extract them	ham
As in different styles?	ham
If he started searching he will get job in few days.he have great potential and talent.	ham
Ok.ok ok..then..whats ur todays plan	ham
Its worse if if uses half way then stops. Its better for him to complete it.	ham
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm	spam
Ya srsly better than yi tho	ham
Yetunde i'm in class can you not run water on it to make it ok. Pls now.	ham
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 	ham
2marrow only. Wed at  &lt;#&gt;  to 2 aha.	ham
Can. Dunno wat to get 4 her...	ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386	spam
House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..	ham
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.	ham
Pls she needs to dat slowly or she will vomit more.	ham
I'm in a movie. Call me 4 wat?	ham
K... Must book a not huh? so going for yoga basic on sunday?	ham
All e best 4 ur exam later.	ham
Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop	spam
Was it something u ate?	ham
Omg how did u know what I ate?	ham
Do you like shaking your booty on the dance floor?	ham
74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC	spam
Pls send me a comprehensive mail about who i'm paying, when and how much.	ham
Ok I'm gonna head up to usf in like fifteen minutes	ham
Okie... Thanx...	ham
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com	spam
The new deus ex game comin early next yr	ham
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …	ham
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.	ham
Mm i had my food da from out	ham
Geeeee ... I love you so much I can barely stand it	ham
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .	ham
I'm putting it on now. It should be ready for  &lt;TIME&gt; 	ham
Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service	spam
Why i come in between you people	ham
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info	spam
No plm i will come da. On the way.	ham
Ok da, i already planned. I wil pick you.	ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599	spam
XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL	spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com	spam
I'm awake oh. What's up.	ham
I just saw ron burgundy captaining a party boat so yeah	ham
K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas	ham
Jesus armand really is trying to tell everybody he can find	ham
"""HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."""	ham
7 lor... Change 2 suntec... Wat time u coming?	ham
Already one guy loving you:-.	ham
God bless.get good sleep my dear...i will pray!	ham
I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.	ham
Can you pls send me that company name. In saibaba colany	ham
Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always	ham
Lol. Well quality aint bad at all so i aint complaining	ham
WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins	spam
That means you got an A in epi, she.s fine. She.s here now.	ham
i dnt wnt to tlk wid u	ham
Just do what ever is easier for you	ham
Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap	ham
No. Thank you. You've been wonderful	ham
This single single answers are we fighting? Plus i said am broke and you didnt reply	ham
Bought one ringtone and now getting texts costing 3 pound offering more tones etc	spam
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem	ham
Ask g or iouri, I've told the story like ten times already	ham
"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX."""	ham
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx	ham
U so lousy, run already come back then half dead... Hee...	ham
