message	label
Yup i'm elaborating on the safety aspects and some other issues..	ham
Ü all write or wat..	ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!	spam
And do you have any one that can teach me how to ship cars.	ham
Awesome, I'll see you in a bit	ham
Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer	spam
Dunno dat's wat he told me. Ok lor...	ham
Jay says that you're a double-faggot	ham
Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon	ham
No need lar i go engin? Cos my sis at arts today...	ham
Sorry, I'll call later	ham
Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. 	ham
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...	ham
Rofl betta invest in some  anti aging products	ham
10 min later k...	ham
Yo im right by yo work	ham
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.	ham
Just getting back home	ham
What happen dear. Why you silent. I am tensed	ham
Wah... Okie okie... Muz make use of e unlimited... Haha... 	ham
HI ITS KATE CAN U GIVE ME A RING ASAP XXX	ham
I don't think I can get away for a trek that long with family in town, sorry	ham
I absolutely LOVE South Park! I only recently started watching the office.	ham
I'm vivek:)i got call from your number.	ham
I'll be at mu in like  &lt;#&gt;  seconds	ham
Yeah we wouldn't leave for an hour at least, how's 4 sound?	ham
U repeat e instructions again. Wat's e road name of ur house?	ham
Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back	ham
Did you see that film:)	ham
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.	ham
Ok which your another number	ham
Or I guess  &lt;#&gt;  min	ham
Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007	spam
Whatsup there. Dont u want to sleep	ham
Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..	ham
Also remember the beads don't come off. Ever.	ham
Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... 	ham
Haha yeah, 2 oz is kind of a shitload	ham
Hope you are having a great day.	ham
Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.	ham
It should take about  &lt;#&gt;  min	ham
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)	ham
Oh you got many responsibilities.	ham
Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea	ham
We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us	ham
R u over scratching it?	ham
How long has it been since you screamed, princess?	ham
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg	spam
Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.	ham
ok....take care.umma to you too...	ham
Sorry, I can't help you on this.	ham
My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.	ham
Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...	ham
Still in the area of the restaurant. Ill try to come back soon	ham
I'm job profile seems like bpo..	ham
That's significant but dont worry.	ham
I am taking half day leave bec i am not well	ham
The wine is flowing and i'm i have nevering..	ham
Dunno y u ask me.	ham
I WILL CAL YOU SIR. In meeting	ham
Am going to take bath ill place the key in window:-)	ham
Ta-Daaaaa! I am home babe, are you still up ?	ham
Are you still playing with gautham?	ham
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm	spam
The greatest test of courage on earth is to bear defeat without losing heart....gn tc	ham
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!	spam
Hey so whats the plan this sat? 	ham
I wont touch you with out your permission.	ham
Call FREEPHONE 0800 542 0578 now!	spam
No. Did you multimedia message them or e-mail?	ham
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.	ham
